type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2019-04-07 10:26:20,51.86231777,6.01790004,3,59.000,,4.923,188,13,24,,
T,2019-04-07 10:26:21,51.86227014,6.01791602,3,59.000,,5.080,174,13,24,,
T,2019-04-07 10:26:22,51.86222557,6.01794033,3,59.000,,5.112,161,13,24,,
T,2019-04-07 10:26:23,51.86218191,6.01797178,3,59.000,,5.140,156,13,24,,
T,2019-04-07 10:26:24,51.86213709,6.01801148,3,59.000,,5.300,152,13,24,,
T,2019-04-07 10:26:25,51.86209232,6.01805110,3,60.000,,5.370,152,12,23,,
T,2019-04-07 10:26:26,51.86204741,6.01809205,3,60.000,,5.310,152,12,23,,
T,2019-04-07 10:26:27,51.86200354,6.01812373,3,61.000,,5.330,153,12,23,,
T,2019-04-07 10:26:28,51.86196046,6.01816171,3,61.000,,5.300,153,13,23,,
T,2019-04-07 10:26:29,51.86191345,6.01819359,3,61.000,,5.250,153,12,23,,
T,2019-04-07 10:26:30,51.86186668,6.01822588,3,61.000,,5.260,152,12,23,,
T,2019-04-07 10:26:31,51.86182217,6.01825816,3,61.000,,5.251,153,12,24,,
T,2019-04-07 10:26:32,51.86178107,6.01829579,3,62.000,,5.021,150,12,24,,
T,2019-04-07 10:26:33,51.86174017,6.01833307,3,62.000,,5.211,152,12,24,,
T,2019-04-07 10:26:34,51.86169758,6.01837107,3,62.000,,5.241,152,12,23,,
T,2019-04-07 10:26:35,51.86165270,6.01840609,3,61.000,,5.077,152,12,23,,
T,2019-04-07 10:26:36,51.86161146,6.01843604,3,61.000,,5.115,153,13,23,,
T,2019-04-07 10:26:37,51.86156897,6.01846073,3,60.000,,5.145,157,13,23,,
T,2019-04-07 10:26:38,51.86152561,6.01848637,3,59.000,,5.244,161,13,23,,
T,2019-04-07 10:26:39,51.86147769,6.01851296,3,59.000,,5.320,161,13,23,,
T,2019-04-07 10:26:40,51.86143154,6.01853624,3,59.000,,5.370,159,13,23,,
T,2019-04-07 10:26:41,51.86139030,6.01855247,3,59.000,,4.746,167,13,23,,
T,2019-04-07 10:26:42,51.86134934,6.01858641,3,59.000,,5.084,158,12,23,,
T,2019-04-07 10:26:43,51.86130456,6.01861653,3,59.000,,5.122,158,12,23,,
T,2019-04-07 10:26:44,51.86126160,6.01864279,3,58.000,,4.670,160,13,23,,
T,2019-04-07 10:26:45,51.86121858,6.01866819,3,58.000,,4.967,160,13,23,,
T,2019-04-07 10:26:46,51.86117197,6.01869419,3,59.000,,5.081,160,13,24,,
T,2019-04-07 10:26:47,51.86113401,6.01872003,3,58.000,,5.121,160,13,23,,
T,2019-04-07 10:26:48,51.86108982,6.01875086,3,58.000,,5.260,158,13,23,,
T,2019-04-07 10:26:49,51.86104716,6.01878243,3,58.000,,5.160,158,13,23,,
T,2019-04-07 10:26:50,51.86100376,6.01881080,3,58.000,,5.180,160,12,23,,
T,2019-04-07 10:26:51,51.86096146,6.01883504,3,58.000,,5.021,159,12,23,,
T,2019-04-07 10:26:52,51.86092288,6.01886147,3,58.000,,4.814,161,12,23,,
T,2019-04-07 10:26:53,51.86088462,6.01889586,3,57.000,,5.041,157,13,25,,
T,2019-04-07 10:26:54,51.86084460,6.01892423,3,57.000,,5.051,156,13,25,,
T,2019-04-07 10:26:55,51.86079648,6.01894638,3,57.000,,4.881,160,13,25,,
T,2019-04-07 10:26:56,51.86075499,6.01897738,3,57.000,,4.893,155,13,25,,
T,2019-04-07 10:26:57,51.86071387,6.01901672,3,57.000,,5.160,154,13,25,,
T,2019-04-07 10:26:58,51.86067399,6.01905768,3,57.000,,5.040,148,13,25,,
T,2019-04-07 10:26:59,51.86063296,6.01909578,3,58.000,,5.100,149,13,25,,
T,2019-04-07 10:27:00,51.86059557,6.01913265,3,58.000,,5.060,149,13,25,,
T,2019-04-07 10:27:01,51.86055546,6.01917112,3,58.000,,5.030,149,13,24,,
T,2019-04-07 10:27:02,51.86051709,6.01921699,3,58.000,,4.930,143,13,24,,
T,2019-04-07 10:27:03,51.86048156,6.01926013,3,58.000,,4.900,144,13,24,,
T,2019-04-07 10:27:04,51.86045065,6.01930676,3,58.000,,4.990,141,13,24,,
T,2019-04-07 10:27:05,51.86041993,6.01935675,3,58.000,,5.030,138,13,24,,
T,2019-04-07 10:27:06,51.86039083,6.01940710,3,58.000,,4.803,134,13,24,,
T,2019-04-07 10:27:07,51.86036273,6.01946437,3,57.000,,4.687,131,13,25,,
T,2019-04-07 10:27:08,51.86033483,6.01951082,3,57.000,,4.731,136,13,25,,
T,2019-04-07 10:27:09,51.86030335,6.01955231,3,57.000,,4.700,139,13,25,,
T,2019-04-07 10:27:10,51.86026815,6.01959674,3,57.000,,4.810,139,13,24,,
T,2019-04-07 10:27:11,51.86023328,6.01964261,3,57.000,,4.930,140,13,24,,
T,2019-04-07 10:27:12,51.86019928,6.01969168,3,57.000,,4.772,138,13,24,,
T,2019-04-07 10:27:13,51.86016704,6.01974229,3,57.000,,4.900,137,13,24,,
T,2019-04-07 10:27:14,51.86013195,6.01979412,3,58.000,,4.972,139,13,24,,
T,2019-04-07 10:27:15,51.86009587,6.01983136,3,58.000,,4.710,142,13,23,,
T,2019-04-07 10:27:16,51.86006295,6.01986665,3,58.000,,4.820,146,13,23,,
T,2019-04-07 10:27:17,51.86002640,6.01990307,3,57.000,,4.730,149,13,23,,
T,2019-04-07 10:27:18,51.85999174,6.01993259,3,57.000,,4.900,154,13,23,,
T,2019-04-07 10:27:19,51.85994790,6.01995570,3,56.000,,4.910,158,13,23,,
T,2019-04-07 10:27:20,51.85990572,6.01998478,3,57.000,,4.801,160,13,23,,
T,2019-04-07 10:27:21,51.85985980,6.02000382,3,57.000,,4.920,168,13,24,,
T,2019-04-07 10:27:22,51.85981835,6.02002018,3,56.000,,4.851,169,13,24,,
T,2019-04-07 10:27:23,51.85977415,6.02003309,3,56.000,,4.961,171,13,23,,
T,2019-04-07 10:27:24,51.85973200,6.02004375,3,56.000,,4.882,173,13,23,,
T,2019-04-07 10:27:25,51.85968676,6.02004445,3,55.000,,4.860,177,13,22,,
T,2019-04-07 10:27:26,51.85964686,6.02004185,3,56.000,,4.800,183,13,22,,
T,2019-04-07 10:27:27,51.85960592,6.02003234,3,55.000,,4.730,191,13,22,,
T,2019-04-07 10:27:28,51.85956433,6.02001745,3,56.000,,4.751,191,13,23,,
T,2019-04-07 10:27:29,51.85952417,6.02000438,3,56.000,,4.540,193,13,22,,
T,2019-04-07 10:27:30,51.85948490,6.01998767,3,56.000,,4.520,196,13,22,,
T,2019-04-07 10:27:31,51.85944672,6.01997050,3,56.000,,4.460,194,13,22,,
T,2019-04-07 10:27:32,51.85940701,6.01996552,3,56.000,,4.450,189,13,22,,
T,2019-04-07 10:27:33,51.85936906,6.01998966,3,56.000,,4.420,162,13,22,,
T,2019-04-07 10:27:34,51.85935193,6.02004258,3,56.000,,4.302,125,13,22,,
T,2019-04-07 10:27:35,51.85934482,6.02010239,3,56.000,,4.203,102,13,22,,
T,2019-04-07 10:27:36,51.85934678,6.02016112,3,57.000,,4.161,89,13,22,,
T,2019-04-07 10:27:37,51.85935066,6.02022425,3,57.000,,4.279,84,13,24,,
T,2019-04-07 10:27:38,51.85936285,6.02028433,3,57.000,,4.330,74,13,24,,
T,2019-04-07 10:27:39,51.85936721,6.02035165,3,58.000,,4.581,82,13,24,,
T,2019-04-07 10:27:40,51.85936860,6.02041916,3,58.000,,4.640,87,13,24,,
T,2019-04-07 10:27:41,51.85936667,6.02048560,3,57.000,,4.800,91,13,24,,
T,2019-04-07 10:27:42,51.85936376,6.02055432,3,57.000,,4.951,94,13,24,,
T,2019-04-07 10:27:43,51.85935444,6.02062675,3,57.000,,4.960,101,13,24,,
T,2019-04-07 10:27:44,51.85934086,6.02069813,3,57.000,,5.090,106,12,22,,
T,2019-04-07 10:27:45,51.85932684,6.02077100,3,56.000,,5.120,107,12,22,,
T,2019-04-07 10:27:46,51.85931550,6.02083806,3,56.000,,5.171,106,12,22,,
T,2019-04-07 10:27:47,51.85929990,6.02090678,3,56.000,,5.090,109,12,22,,
T,2019-04-07 10:27:48,51.85928529,6.02097636,3,56.000,,5.030,109,12,22,,
T,2019-04-07 10:27:49,51.85927192,6.02104392,3,56.000,,4.960,109,12,22,,
T,2019-04-07 10:27:50,51.85925427,6.02111153,3,57.000,,4.940,109,12,22,,
T,2019-04-07 10:27:51,51.85923752,6.02117809,3,57.000,,4.900,111,13,22,,
T,2019-04-07 10:27:52,51.85922568,6.02124640,3,57.000,,5.010,110,13,22,,
T,2019-04-07 10:27:53,51.85921009,6.02131685,3,57.000,,4.940,109,13,22,,
T,2019-04-07 10:27:54,51.85919676,6.02138662,3,56.000,,4.780,110,13,22,,
T,2019-04-07 10:27:55,51.85918336,6.02145377,3,56.000,,4.800,107,13,23,,
T,2019-04-07 10:27:56,51.85916983,6.02151868,3,56.000,,4.670,108,13,23,,
T,2019-04-07 10:27:57,51.85915318,6.02158279,3,56.000,,4.760,112,13,23,,
T,2019-04-07 10:27:58,51.85913674,6.02164661,3,57.000,,4.720,113,13,23,,
T,2019-04-07 10:27:59,51.85912962,6.02169659,3,56.000,,3.692,110,13,23,,
T,2019-04-07 10:28:00,51.85911822,6.02176518,3,56.000,,4.673,108,13,23,,
T,2019-04-07 10:28:01,51.85910406,6.02182977,3,56.000,,4.700,109,13,24,,
T,2019-04-07 10:28:02,51.85908730,6.02189604,3,56.000,,4.710,110,12,24,,
T,2019-04-07 10:28:03,51.85906957,6.02196163,3,56.000,,4.740,110,12,24,,
T,2019-04-07 10:28:04,51.85905384,6.02202894,3,56.000,,4.721,108,13,25,,
T,2019-04-07 10:28:05,51.85904017,6.02209795,3,57.000,,4.740,107,12,23,,
T,2019-04-07 10:28:06,51.85902459,6.02216336,3,57.000,,4.730,110,12,23,,
T,2019-04-07 10:28:07,51.85901228,6.02223116,3,57.000,,4.840,107,13,23,,
T,2019-04-07 10:28:08,51.85900378,6.02229900,3,57.000,,4.810,104,13,21,,
T,2019-04-07 10:28:09,51.85898952,6.02236607,3,57.000,,4.860,106,13,21,,
T,2019-04-07 10:28:10,51.85897943,6.02243362,3,57.000,,4.871,109,13,22,,
T,2019-04-07 10:28:11,51.85896428,6.02249838,3,57.000,,4.795,108,13,22,,
T,2019-04-07 10:28:12,51.85895254,6.02256347,3,57.000,,4.560,108,13,23,,
T,2019-04-07 10:28:13,51.85893988,6.02263361,3,57.000,,4.982,108,13,22,,
T,2019-04-07 10:28:14,51.85892753,6.02270557,3,57.000,,5.141,107,12,22,,
T,2019-04-07 10:28:15,51.85891085,6.02278355,3,57.000,,5.410,108,11,22,,
T,2019-04-07 10:28:16,51.85889711,6.02284145,3,57.000,,4.650,111,11,22,,
T,2019-04-07 10:28:17,51.85888152,6.02290835,3,57.000,,4.820,109,11,23,,
T,2019-04-07 10:28:18,51.85886481,6.02297211,3,57.000,,4.850,109,11,23,,
T,2019-04-07 10:28:19,51.85885355,6.02303843,3,57.000,,4.780,109,12,23,,
T,2019-04-07 10:28:20,51.85883562,6.02310927,3,57.000,,4.811,111,12,23,,
T,2019-04-07 10:28:21,51.85881918,6.02316732,3,57.000,,4.660,110,13,23,,
T,2019-04-07 10:28:22,51.85880507,6.02323001,3,57.000,,4.690,111,13,23,,
T,2019-04-07 10:28:23,51.85878731,6.02329426,3,57.000,,4.830,113,13,23,,
T,2019-04-07 10:28:24,51.85876994,6.02335894,3,56.000,,4.815,114,12,23,,
T,2019-04-07 10:28:25,51.85875334,6.02341312,3,56.000,,4.640,114,13,24,,
T,2019-04-07 10:28:26,51.85873571,6.02346339,3,57.000,,4.174,119,13,24,,
T,2019-04-07 10:28:27,51.85872114,6.02352883,3,57.000,,4.721,114,12,24,,
T,2019-04-07 10:28:28,51.85870474,6.02359277,3,56.000,,4.670,114,12,24,,
T,2019-04-07 10:28:29,51.85868861,6.02365887,3,56.000,,4.901,113,12,24,,
T,2019-04-07 10:28:30,51.85867301,6.02372275,3,56.000,,4.640,114,12,24,,
T,2019-04-07 10:28:31,51.85865715,6.02378762,3,56.000,,4.610,114,13,24,,
T,2019-04-07 10:28:32,51.85864020,6.02385447,3,56.000,,4.880,113,12,24,,
T,2019-04-07 10:28:33,51.85862357,6.02391644,3,57.000,,4.720,114,13,24,,
T,2019-04-07 10:28:34,51.85860809,6.02397391,3,57.000,,4.530,113,13,24,,
T,2019-04-07 10:28:35,51.85859258,6.02403587,3,57.000,,4.630,114,13,24,,
T,2019-04-07 10:28:36,51.85857646,6.02409727,3,57.000,,4.591,114,13,24,,
T,2019-04-07 10:28:37,51.85856111,6.02415990,3,57.000,,4.560,114,12,24,,
T,2019-04-07 10:28:38,51.85854410,6.02422141,3,58.000,,4.402,114,12,24,,
T,2019-04-07 10:28:39,51.85852940,6.02428223,3,58.000,,4.623,112,12,24,,
T,2019-04-07 10:28:40,51.85850980,6.02433905,3,58.000,,4.387,117,13,24,,
T,2019-04-07 10:28:41,51.85849662,6.02438255,3,58.000,,3.530,116,12,24,,
T,2019-04-07 10:28:42,51.85847937,6.02444830,3,58.000,,4.580,115,12,24,,
T,2019-04-07 10:28:43,51.85846118,6.02450953,3,58.000,,4.560,114,11,24,,
T,2019-04-07 10:28:44,51.85844610,6.02456866,3,59.000,,4.292,114,12,24,,
T,2019-04-07 10:28:45,51.85842772,6.02462725,3,58.000,,4.470,116,12,24,,
T,2019-04-07 10:28:46,51.85841088,6.02468902,3,59.000,,4.388,116,12,24,,
T,2019-04-07 10:28:47,51.85839375,6.02474624,3,59.000,,4.381,116,12,24,,
T,2019-04-07 10:28:48,51.85837612,6.02480352,3,59.000,,4.320,115,11,24,,
T,2019-04-07 10:28:49,51.85836098,6.02485440,3,59.000,,4.133,115,11,24,,
T,2019-04-07 10:28:50,51.85834350,6.02491297,3,59.000,,4.310,118,12,24,,
T,2019-04-07 10:28:51,51.85832484,6.02497165,3,59.000,,4.390,116,13,24,,
T,2019-04-07 10:28:52,51.85830724,6.02502486,3,59.000,,4.121,116,12,23,,
T,2019-04-07 10:28:53,51.85828919,6.02508290,3,59.000,,4.260,117,13,23,,
T,2019-04-07 10:28:54,51.85827138,6.02513518,3,59.000,,4.281,117,13,23,,
T,2019-04-07 10:28:55,51.85825255,6.02519146,3,59.000,,4.274,119,13,23,,
T,2019-04-07 10:28:56,51.85823440,6.02524866,3,59.000,,4.250,119,13,23,,
T,2019-04-07 10:28:57,51.85821586,6.02530041,3,59.000,,4.170,119,13,23,,
T,2019-04-07 10:28:58,51.85819859,6.02535308,3,59.000,,4.131,118,13,23,,
T,2019-04-07 10:28:59,51.85817705,6.02541338,3,58.000,,4.160,121,13,23,,
T,2019-04-07 10:29:00,51.85815721,6.02545559,3,58.000,,4.120,123,13,23,,
T,2019-04-07 10:29:01,51.85813319,6.02551066,3,58.000,,4.260,122,13,23,,
T,2019-04-07 10:29:02,51.85811234,6.02557081,3,58.000,,4.330,120,13,23,,
T,2019-04-07 10:29:03,51.85809331,6.02562175,3,58.000,,4.200,121,13,23,,
T,2019-04-07 10:29:04,51.85807138,6.02567973,3,58.000,,4.230,122,13,23,,
T,2019-04-07 10:29:05,51.85804740,6.02573450,3,58.000,,4.330,124,13,22,,
T,2019-04-07 10:29:06,51.85802447,6.02579224,3,59.000,,4.490,124,13,22,,
T,2019-04-07 10:29:07,51.85800407,6.02585227,3,58.000,,4.600,123,12,22,,
T,2019-04-07 10:29:08,51.85797882,6.02591405,3,58.000,,4.560,124,12,22,,
T,2019-04-07 10:29:09,51.85795521,6.02597063,3,58.000,,4.541,124,12,22,,
T,2019-04-07 10:29:10,51.85793808,6.02602093,3,58.000,,4.541,123,13,22,,
T,2019-04-07 10:29:11,51.85791861,6.02607362,3,58.000,,4.480,121,13,22,,
T,2019-04-07 10:29:12,51.85789882,6.02613116,3,58.000,,4.431,120,13,22,,
T,2019-04-07 10:29:13,51.85787791,6.02618671,3,59.000,,4.440,123,13,22,,
T,2019-04-07 10:29:14,51.85785721,6.02624608,3,59.000,,4.610,123,13,22,,
T,2019-04-07 10:29:15,51.85783571,6.02629754,3,59.000,,4.590,123,13,22,,
T,2019-04-07 10:29:16,51.85781199,6.02635674,3,59.000,,4.530,123,13,22,,
T,2019-04-07 10:29:17,51.85779012,6.02641909,3,60.000,,4.400,125,13,22,,
T,2019-04-07 10:29:18,51.85777003,6.02645825,3,61.000,,4.311,128,13,22,,
T,2019-04-07 10:29:19,51.85774248,6.02651432,3,61.000,,4.370,128,13,22,,
T,2019-04-07 10:29:20,51.85771719,6.02656929,3,60.000,,4.460,128,13,22,,
T,2019-04-07 10:29:21,51.85769711,6.02662484,4,60.000,,4.430,125,13,22,,
T,2019-04-07 10:29:22,51.85767114,6.02668120,4,59.000,,4.716,121,13,22,,
T,2019-04-07 10:29:23,51.85764563,6.02674174,4,59.000,,4.781,122,13,22,,
T,2019-04-07 10:29:24,51.85763182,6.02679574,4,61.000,,4.766,120,12,22,,
T,2019-04-07 10:29:25,51.85760654,6.02684837,4,61.000,,4.540,124,12,22,,
T,2019-04-07 10:29:26,51.85758072,6.02691790,4,61.000,,4.421,123,12,22,,
T,2019-04-07 10:29:27,51.85755704,6.02697588,4,61.000,,4.531,122,13,22,,
T,2019-04-07 10:29:28,51.85753597,6.02702782,4,61.000,,4.620,124,13,22,,
T,2019-04-07 10:29:29,51.85751189,6.02708418,4,61.000,,4.570,124,13,22,,
T,2019-04-07 10:29:30,51.85749146,6.02714131,4,61.000,,4.600,123,13,22,,
T,2019-04-07 10:29:31,51.85747086,6.02720163,3,61.000,,4.730,122,13,22,,
T,2019-04-07 10:29:32,51.85744824,6.02725816,3,61.000,,4.670,123,13,22,,
T,2019-04-07 10:29:33,51.85742778,6.02731903,3,61.000,,4.810,122,13,22,,
T,2019-04-07 10:29:34,51.85740260,6.02737441,3,60.000,,4.620,124,13,22,,
T,2019-04-07 10:29:35,51.85737801,6.02743258,3,60.000,,4.851,123,13,22,,
T,2019-04-07 10:29:36,51.85735634,6.02748759,3,60.000,,4.602,123,13,22,,
T,2019-04-07 10:29:37,51.85733579,6.02754576,3,59.000,,4.552,122,13,22,,
T,2019-04-07 10:29:38,51.85731194,6.02760106,3,60.000,,4.473,122,13,23,,
T,2019-04-07 10:29:39,51.85728702,6.02765929,3,59.000,,4.480,123,13,23,,
T,2019-04-07 10:29:40,51.85726402,6.02770997,3,59.000,,4.631,124,14,23,,
T,2019-04-07 10:29:41,51.85724203,6.02776235,3,60.000,,4.620,124,14,23,,
T,2019-04-07 10:29:42,51.85722057,6.02781018,3,59.000,,4.630,125,13,23,,
T,2019-04-07 10:29:43,51.85719627,6.02786782,3,59.000,,4.751,124,13,23,,
T,2019-04-07 10:29:44,51.85717144,6.02792628,3,60.000,,4.982,126,13,23,,
T,2019-04-07 10:29:45,51.85714682,6.02798239,3,60.000,,4.800,125,14,24,,
T,2019-04-07 10:29:46,51.85711988,6.02803632,3,59.000,,4.890,127,15,24,,
T,2019-04-07 10:29:47,51.85709532,6.02807979,3,60.000,,4.400,130,15,24,,
T,2019-04-07 10:29:48,51.85706448,6.02815535,3,59.000,,4.742,130,15,24,,
T,2019-04-07 10:29:49,51.85703765,6.02820775,3,60.000,,4.681,131,10,21,,
T,2019-04-07 10:29:50,51.85701078,6.02827908,3,59.000,,4.730,132,9,23,,
T,2019-04-07 10:29:51,51.85698419,6.02833003,3,60.000,,4.734,131,13,24,,
T,2019-04-07 10:29:52,51.85695743,6.02838690,3,60.000,,4.621,129,11,22,,
T,2019-04-07 10:29:53,51.85692915,6.02843856,3,59.000,,4.510,129,9,21,,
T,2019-04-07 10:29:54,51.85690221,6.02852098,3,59.000,,4.540,131,13,23,,
T,2019-04-07 10:29:55,51.85687755,6.02856849,3,58.000,,4.430,129,13,23,,
T,2019-04-07 10:29:56,51.85685044,6.02861416,3,58.000,,4.490,131,15,24,,
T,2019-04-07 10:29:57,51.85682355,6.02866329,3,58.000,,4.550,132,15,24,,
T,2019-04-07 10:29:58,51.85679749,6.02871499,3,58.000,,4.560,132,15,24,,
T,2019-04-07 10:29:59,51.85677195,6.02875890,3,59.000,,4.373,133,15,24,,
T,2019-04-07 10:30:00,51.85674501,6.02880577,3,59.000,,4.411,132,15,24,,
T,2019-04-07 10:30:01,51.85671820,6.02885540,3,59.000,,4.501,131,15,24,,
T,2019-04-07 10:30:02,51.85669335,6.02890338,3,59.000,,4.500,131,14,24,,
T,2019-04-07 10:30:03,51.85666472,6.02895635,3,59.000,,4.620,131,14,24,,
T,2019-04-07 10:30:04,51.85663679,6.02901741,3,58.000,,4.730,130,14,24,,
T,2019-04-07 10:30:05,51.85660959,6.02906584,3,58.000,,4.710,130,15,24,,
T,2019-04-07 10:30:06,51.85658234,6.02912058,3,57.000,,4.561,132,15,24,,
T,2019-04-07 10:30:07,51.85655470,6.02916979,3,57.000,,4.651,132,15,24,,
T,2019-04-07 10:30:08,51.85652740,6.02922836,3,57.000,,4.740,131,14,24,,
T,2019-04-07 10:30:09,51.85649723,6.02928214,3,57.000,,4.790,130,15,24,,
T,2019-04-07 10:30:10,51.85647130,6.02931356,3,57.000,,4.522,133,14,24,,
T,2019-04-07 10:30:11,51.85644220,6.02936573,3,57.000,,4.690,131,14,24,,
T,2019-04-07 10:30:12,51.85641304,6.02940630,3,58.000,,4.730,132,14,24,,
T,2019-04-07 10:30:13,51.85638364,6.02945616,3,58.000,,4.730,130,14,24,,
T,2019-04-07 10:30:14,51.85635519,6.02951183,3,57.000,,4.780,131,14,24,,
T,2019-04-07 10:30:15,51.85632877,6.02956825,3,57.000,,4.820,131,14,24,,
T,2019-04-07 10:30:16,51.85630140,6.02962521,3,57.000,,4.840,130,14,24,,
T,2019-04-07 10:30:17,51.85627054,6.02968079,3,57.000,,4.910,131,14,24,,
T,2019-04-07 10:30:18,51.85624174,6.02973758,3,56.000,,4.860,131,14,24,,
T,2019-04-07 10:30:19,51.85621183,6.02979334,3,56.000,,5.010,130,14,24,,
T,2019-04-07 10:30:20,51.85618219,6.02984858,3,56.000,,5.030,130,14,24,,
T,2019-04-07 10:30:21,51.85615185,6.02990063,3,56.000,,5.000,131,15,24,,
T,2019-04-07 10:30:22,51.85612057,6.02995611,3,57.000,,5.002,129,15,24,,
T,2019-04-07 10:30:23,51.85609079,6.03001243,3,57.000,,5.061,131,14,24,,
T,2019-04-07 10:30:24,51.85606322,6.03007346,3,56.000,,5.170,126,15,24,,
T,2019-04-07 10:30:25,51.85603476,6.03012523,3,57.000,,5.021,130,15,24,,
T,2019-04-07 10:30:26,51.85600860,6.03016909,3,57.000,,4.761,130,15,24,,
T,2019-04-07 10:30:27,51.85598206,6.03021243,3,58.000,,4.510,134,15,24,,
T,2019-04-07 10:30:28,51.85595813,6.03026094,3,57.000,,4.262,131,15,24,,
T,2019-04-07 10:30:29,51.85592512,6.03031610,3,57.000,,4.901,132,15,24,,
T,2019-04-07 10:30:30,51.85589080,6.03037991,3,57.000,,5.431,133,15,24,,
T,2019-04-07 10:30:31,51.85586030,6.03043924,3,57.000,,5.040,129,15,24,,
T,2019-04-07 10:30:32,51.85583531,6.03048795,3,57.000,,4.570,132,15,24,,
T,2019-04-07 10:30:33,51.85580928,6.03053106,3,56.000,,4.230,133,15,24,,
T,2019-04-07 10:30:34,51.85578436,6.03060041,3,56.000,,4.690,128,15,24,,
T,2019-04-07 10:30:35,51.85576113,6.03065550,3,56.000,,4.670,126,15,24,,
T,2019-04-07 10:30:36,51.85574775,6.03071687,3,56.000,,4.472,113,15,24,,
T,2019-04-07 10:30:37,51.85575524,6.03076265,3,55.000,,3.862,89,15,24,,
T,2019-04-07 10:30:38,51.85576174,6.03081672,3,55.000,,3.976,81,15,24,,
T,2019-04-07 10:30:39,51.85579036,6.03087772,3,55.000,,4.591,56,14,24,,
T,2019-04-07 10:30:40,51.85581872,6.03093219,3,55.000,,4.731,50,14,24,,
T,2019-04-07 10:30:41,51.85584391,6.03100897,3,54.000,,4.810,54,14,24,,
T,2019-04-07 10:30:42,51.85588300,6.03103313,3,55.000,,4.670,40,14,24,,
T,2019-04-07 10:30:43,51.85591441,6.03107027,3,55.000,,4.790,39,14,24,,
T,2019-04-07 10:30:44,51.85595194,6.03110808,3,56.000,,4.954,37,14,24,,
T,2019-04-07 10:30:45,51.85598724,6.03115447,3,55.000,,4.864,38,14,24,,
T,2019-04-07 10:30:46,51.85602390,6.03121165,3,56.000,,4.942,37,15,24,,
T,2019-04-07 10:30:47,51.85605506,6.03124503,3,56.000,,4.649,37,14,24,,
T,2019-04-07 10:30:48,51.85608223,6.03128284,3,56.000,,4.540,38,14,24,,
T,2019-04-07 10:30:49,51.85611723,6.03132351,3,55.000,,4.570,39,14,24,,
T,2019-04-07 10:30:50,51.85615443,6.03135884,3,56.000,,4.510,39,14,24,,
T,2019-04-07 10:30:51,51.85618555,6.03140236,3,56.000,,4.581,39,14,24,,
T,2019-04-07 10:30:52,51.85621470,6.03144457,3,57.000,,4.500,40,14,24,,
T,2019-04-07 10:30:53,51.85624787,6.03148810,3,57.000,,4.510,38,14,24,,
T,2019-04-07 10:30:54,51.85628092,6.03152478,3,56.000,,4.550,37,14,24,,
T,2019-04-07 10:30:55,51.85631247,6.03155868,3,56.000,,4.610,35,14,24,,
T,2019-04-07 10:30:56,51.85634498,6.03159443,3,57.000,,4.670,36,14,24,,
T,2019-04-07 10:30:57,51.85637900,6.03163790,3,57.000,,4.600,38,14,24,,
T,2019-04-07 10:30:58,51.85640986,6.03168030,3,57.000,,4.581,41,15,24,,
T,2019-04-07 10:30:59,51.85644537,6.03172562,3,57.000,,4.551,40,14,24,,
T,2019-04-07 10:31:00,51.85647478,6.03176561,3,57.000,,4.540,38,14,24,,
T,2019-04-07 10:31:01,51.85651068,6.03180191,3,58.000,,4.552,38,15,24,,
T,2019-04-07 10:31:02,51.85653744,6.03184421,3,58.000,,4.540,39,15,24,,
T,2019-04-07 10:31:03,51.85656741,6.03188875,3,58.000,,4.531,38,15,24,,
T,2019-04-07 10:31:04,51.85659155,6.03193526,3,57.000,,4.490,38,15,24,,
T,2019-04-07 10:31:05,51.85661570,6.03198311,3,57.000,,4.361,42,15,24,,
T,2019-04-07 10:31:06,51.85665503,6.03201936,3,57.000,,4.560,39,15,24,,
T,2019-04-07 10:31:07,51.85669393,6.03205835,3,58.000,,4.490,40,15,24,,
T,2019-04-07 10:31:08,51.85672138,6.03210095,3,57.000,,4.540,38,15,24,,
T,2019-04-07 10:31:09,51.85675614,6.03213839,3,56.000,,4.590,37,15,24,,
T,2019-04-07 10:31:10,51.85678630,6.03218377,3,57.000,,4.637,38,15,24,,
T,2019-04-07 10:31:11,51.85681676,6.03222855,3,57.000,,4.670,38,15,24,,
T,2019-04-07 10:31:12,51.85684603,6.03227486,3,56.000,,4.650,38,14,24,,
T,2019-04-07 10:31:13,51.85688314,6.03231788,3,57.000,,4.630,38,14,24,,
T,2019-04-07 10:31:14,51.85691735,6.03235804,3,58.000,,4.591,37,15,24,,
T,2019-04-07 10:31:15,51.85695326,6.03239880,3,58.000,,4.561,37,15,24,,
T,2019-04-07 10:31:16,51.85698599,6.03243735,3,58.000,,4.570,39,15,24,,
T,2019-04-07 10:31:17,51.85701609,6.03247880,3,58.000,,4.580,39,15,24,,
T,2019-04-07 10:31:18,51.85705043,6.03251755,3,58.000,,4.572,38,15,24,,
T,2019-04-07 10:31:19,51.85708646,6.03255358,3,59.000,,4.635,38,15,24,,
T,2019-04-07 10:31:20,51.85711663,6.03259694,3,59.000,,4.632,38,15,24,,
T,2019-04-07 10:31:21,51.85714742,6.03263703,3,59.000,,4.622,37,15,24,,
